dhlabid,urn,title,authors,oaiid,sesamid,isbn10,city,timestamp,year,publisher,langs,subjects,ddc,genres,literaryform,doctype
200272009,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080123_10_3_1,budstikkasoegne,,,,,Kristiansand,20080123,2008,,,,,,,digavis
200272011,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080206_10_5_1,budstikkasoegne,,,,,Kristiansand,20080206,2008,,,,,,,digavis
200272113,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100224_12_8_1,budstikkasoegne,,,,,Kristiansand,20100224,2010,,,,,,,digavis
200272050,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20081105_10_44_1,budstikkasoegne,,,,,Kristiansand,20081105,2008,,,,,,,digavis
200272121,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100428_12_16_1,budstikkasoegne,,,,,Kristiansand,20100428,2010,,,,,,,digavis
200272041,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080903_10_35_1,budstikkasoegne,,,,,Kristiansand,20080903,2008,,,,,,,digavis
200272097,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20091028_11_40_1,budstikkasoegne,,,,,Kristiansand,20091028,2009,,,,,,,digavis
200272186,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20110810_13_32_1,budstikkasoegne,,,,,Kristiansand,20110810,2011,,,,,,,digavis
200272090,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20090909_11_33_1,budstikkasoegne,,,,,Kristiansand,20090909,2009,,,,,,,digavis
200272058,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20090107_11_1_1,budstikkasoegne,,,,,Kristiansand,20090107,2009,,,,,,,digavis
200272191,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20110914_13_37_1,budstikkasoegne,,,,,Kristiansand,20110914,2011,,,,,,,digavis
200272146,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20101020_12_42_1,budstikkasoegne,,,,,Kristiansand,20101020,2010,,,,,,,digavis
200272151,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20101124_12_47_1,budstikkasoegne,,,,,Kristiansand,20101124,2010,,,,,,,digavis
200272089,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20090902_11_32_1,budstikkasoegne,,,,,Kristiansand,20090902,2009,,,,,,,digavis
200272015,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080305_10_9_1,budstikkasoegne,,,,,Kristiansand,20080305,2008,,,,,,,digavis
200272204,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20111214_13_50_1,budstikkasoegne,,,,,Kristiansand,20111214,2011,,,,,,,digavis
200272019,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080402_10_13_1,budstikkasoegne,,,,,Kristiansand,20080402,2008,,,,,,,digavis
200272196,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20111019_13_42_1,budstikkasoegne,,,,,Kristiansand,20111019,2011,,,,,,,digavis
200272091,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20090916_11_34_1,budstikkasoegne,,,,,Kristiansand,20090916,2009,,,,,,,digavis
200272084,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20090729_11_27_1,budstikkasoegne,,,,,Kristiansand,20090729,2009,,,,,,,digavis
200272103,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20091209_11_46_1,budstikkasoegne,,,,,Kristiansand,20091209,2009,,,,,,,digavis
200272071,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20090415_11_14_1,budstikkasoegne,,,,,Kristiansand,20090415,2009,,,,,,,digavis
200272030,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080618_10_24_1,budstikkasoegne,,,,,Kristiansand,20080618,2008,,,,,,,digavis
200272139,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100901_12_35_1,budstikkasoegne,,,,,Kristiansand,20100901,2010,,,,,,,digavis
200272092,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20090923_11_35_1,budstikkasoegne,,,,,Kristiansand,20090923,2009,,,,,,,digavis
200272202,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20111130_13_48_1,budstikkasoegne,,,,,Kristiansand,20111130,2011,,,,,,,digavis
